Brand  ,Country  ,Whiskies  ,Votes  ,Rating  ,WB Ranking  ,
Cascade,United States,2,1,83.00,D,
Cascade Blonde,United States,1,,,G,
Cask & Crew,United States,1,,,G,
Cask & Smoke,United States,1,,,G,
Cask Force,Scotland,1,1,85.00,C,
Cask Islay,Scotland,13,12,83.16,D,
Cask Orkney,Scotland,4,3,86.78,C,
Cask Speyside,Scotland,2,1,80.64,D,
Cask Strength Selection from Islay,Scotland,,,,G,
Caskieben,Scotland,2,2,87.13,C,
Cassidy & Co,Ireland,1,,,G,
Cassidy's,Ireland,2,1,77.00,E,
Cassius Clay,United States,1,1,86.00,C,
Castell Conwy,Scotland,1,,,G,
Castle Pride,Scotland,3,,,G,
Castle Rock,Scotland,3,1,58.50,G,
Castlebay,Scotland,1,,,G,
Castlesword,Scotland,1,,,G,
Castlewood,Scotland,1,,,G,
Cataibh,Scotland,1,,,G,
Catdaddy,United States,1,1,59.00,G,
Cathead Distillery,United States,2,1,73.00,F,
Catoctin Creek,United States,30,19,82.53,D,
Catskill,United States,2,1,85.00,C,
Cattle Creep,United Kingdom,3,,,G,
Catto,Scotland,5,3,82.61,D,
Catto's,Scotland,29,16,76.56,E,
Cavalier,Scotland,1,,,G,
Cavanagh,Ireland,1,,,G,
Cave Aquila,,2,1,84.67,D,
Cawdor Castle,Scotland,2,1,77.00,E,
Cawdordew,Scotland,4,2,88.88,C,
Cayest,Scotland,1,,,G,
Cearban,Scotland,1,1,70.00,F,
Cedar Brook,United States,3,1,89.33,C,
Cedar Ridge,United States,22,9,79.94,E,
Celebration,Scotland,4,,,G,
Celia,India,2,2,78.00,E,
CELP,Scotland,3,3,78.01,E,
Celtic,Scotland,15,1,89.00,C,
Celtic Cask,Ireland,35,19,86.48,C,
Celtic Desire,Netherlands,1,,,G,
Celtic Poteen,United Kingdom,2,,,G,
Celtic Whisky,United Kingdom,1,1,80.00,D,
Celtic Wysgi,United Kingdom,,,,G,
Celtique Connexion,France,26,19,86.07,C,
Centenary,Scotland,1,,,G,
Centenary Blend,Scotland,4,1,87.00,C,
Central Standard,United States,1,,,G,
Centurion's Ghost,United Kingdom,3,,,G,
Century Bonded,United States,1,,,G,
Century Club,United States,1,,,G,
Century Reserve,Canada,4,,,G,
Cesvaines Brūzis,Latvia,1,,,G,
Cetxim Whiskey,Mexico,,,,G,
ch Distillery,United States,1,,,G,
Chairman's Celebration Reserve,Scotland,1,,,G,
Chamberlains,Scotland,1,1,84.50,D,
Chambers Bay Distillery,United States,2,,,G,
Champion,Cyprus,3,1,78.50,E,
Chapin & Gore,United States,1,,,G,
Charbay,United States,9,3,85.75,C,
Charcoal & Cornmeal & Rickhouses & a Decade,United States,1,,,G,
Charles Barclay,Philippines,1,,,G,
Charles Goodnight,United States,1,,,G,
Charleston,Scotland,1,,,G,
Charlie Stuart,Scotland,1,,,G,
Charlier,France,1,,,G,
Charter Oak,United States,1,1,90.00,B,
Chattanooga Whiskey,United States,26,2,81.84,D,
Cheers England,Scotland,1,,,G,
Chen_Uen's Romance of the Three Kingdoms,Taiwan,2,2,84.63,D,
Chequers,Scotland,24,11,83.76,D,
Cherry,Japan,2,2,80.72,D,
Cherry-Rocher,France,2,1,81.00,D,
Chestnut Farms,United States,2,1,80.00,D,
Chesty Whiskey,United States,2,,,G,
Chevy Chase,Scotland,1,,,G,
Chichibu,Japan,381,313,88.86,C,
Chichibu Whisky Matsuri,Japan,3,3,85.35,C,
Chichibu X Hanyu,Japan,1,1,90.23,B,
Chicken Cock,United States,15,7,72.00,F,
Chicken Hill,Switzerland,15,7,77.07,E,
Chief's Son,Australia,18,5,82.30,D,
Chieftain's,Scotland,114,38,88.38,C,
Chieftain's Choice,Scotland,8,7,90.36,B,
Chimera,Scotland,5,3,84.45,D,
Chita,Japan,10,9,82.74,D,
Chivalry,Scotland,1,1,65.00,G,
Chivas Brothers,Scotland,39,21,81.61,D,
Chivas De Danu,Scotland,,,,G,
Chivas Regal,Scotland,188,130,77.22,E,
Chleiholz Whisky,Switzerland,1,,,G,
Chocoladna,Scotland,2,1,88.00,C,
Choicest Liqueur,Scotland,1,,,G,
Christmas,Scotland,1,1,83.00,D,
Christmas Malt,Scotland,11,9,86.07,C,
Christmas Single Malt,,1,1,90.31,B,
Christopher & Co.,Scotland,1,,,G,
Christy and Brooks,United States,1,,,G,
Churchill,Scotland,3,,,G,
Churchill,United States,1,,,G,
Churchill's,Scotland,3,,,G,
Churfirsten Brennerei,Switzerland,1,1,74.00,F,
Churtons,Scotland,8,3,83.33,D,
Cill Áirne Cask,Ireland,2,,,G,
Cinder Dick,United States,1,1,74.00,F,
Circumstantial,United Kingdom,6,,,G,
CIRKA,Canada,1,1,78.00,E,
City of Aberdeen,Scotland,1,,,G,
Clachaig,Scotland,1,1,82.00,D,
Cladach,Scotland,3,2,86.73,C,
Claddagh,Ireland,1,1,82.50,D,
Claggain,Scotland,1,,,G,
Clan Ardroch,Scotland,1,,,G,
Clan Ben,Scotland,1,1,40.00,G,
Clan Blend,Scotland,2,2,75.50,E,
Clan Campbell,Scotland,48,25,73.83,F,
Clan Chattan,Scotland,3,2,81.84,D,
Clan Denny,Scotland,14,9,84.56,D,
Clan Dew,Scotland,1,,,G,
Clan Douglas,Scotland,1,,,G,
Clan Fraser,Scotland,3,2,75.00,E,
Clan Gold,Scotland,4,1,73.50,F,
Clan Hanald,Scotland,,,,G,
Clan House,Scotland,3,1,71.33,F,
Clan Kennedy,Scotland,3,1,79.00,E,
Clan MacGregor,Scotland,20,8,64.36,G,
Clan More,Scotland,1,1,81.00,D,
Clan Murdock,Scotland,3,,,G,
Clan Murray,Scotland,2,2,72.00,F,
Clan Northe,Scotland,1,1,40.50,G,
Clan Robertson,Scotland,4,1,77.00,E,
Clan Royal,Scotland,2,,,G,
Clan Tartan,Scotland,2,,,G,
Clandestine,Scotland,3,2,87.88,C,
Clansman,Scotland,3,1,70.67,F,
Clara Hof,Germany,1,1,68.00,G,
Claravallis,Austria,1,,,G,
Clark & Sheffield,United States,1,,,G,
Clarke's,United States,7,6,62.05,G,
Classic,Scotland,2,1,84.86,D,
Classic Campbeltown,Scotland,2,2,85.52,C,
Classic Highland,Scotland,1,1,80.00,D,
Classic Islay,Scotland,2,2,82.38,D,
Classic Lowland,Scotland,1,,,G,
Classic of Islay,Scotland,235,205,86.04,C,
Clayborn,Germany,3,1,94.00,B,
Claymore,Scotland,9,2,89.50,C,
Clementine,United States,1,,,G,
Cleveland,United States,20,7,80.02,D,
Cley Whisky,Netherlands,15,9,81.49,D,
Clifton Moore,Scotland,4,,,G,
Climax,United States,3,1,81.50,D,
Cloc Whisky,Denmark,3,2,81.50,D,
Cloch Fhealsúnaí,Ireland,1,1,75.25,E,
Clonakilty,Ireland,32,28,82.63,D,
Clonmel,Ireland,2,2,83.00,D,
Clontarf,Ireland,25,22,72.46,F,
Club 45,Scotland,3,,,G,
Club 73,France,1,,,G,
Club 99,Scotland,7,3,58.67,G,
Club Bourbon,United States,1,,,G,
Club Deluxe,Scotland,1,,,G,
Club Imperial,Scotland,1,,,G,
Club Man,Scotland,1,,,G,
Cluny,Scotland,30,16,83.56,D,
Clyde May's,United States,18,6,81.76,D,
Clydebank,Scotland,3,1,64.50,G,
Clydebuilt,Scotland,1,1,82.33,D,
Clynelish,Scotland,1994,1600,86.83,C,
Cnoc Lart,Scotland,1,1,83.33,D,
Co-op,England,4,1,48.00,G,
Coachman,Scotland,1,,,G,
Coal Yard,United States,2,2,70.00,F,
Coblebrae,Scotland,1,,,G,
Coburg 1830,Belgium,1,1,81.00,D,
Cock of the Walk,United States,1,,,G,
Cockburn,Scotland,5,4,79.83,E,
Cockburn's,Scotland,2,,,G,
Cockburns,Scotland,2,2,84.42,D,
Cockermouth's,Scotland,1,,,G,
Cody Road,United States,24,2,81.00,D,
Coepenick Collection,Scotland,1,1,89.25,C,
Coeur de Cave,Scotland,3,2,87.48,C,
Cofaidh,Germany,3,3,85.33,C,
Còig Deicheadan,Scotland,2,2,89.64,C,
Coillmór,Germany,80,51,70.22,F,
Coilltean,Scotland,6,6,90.38,B,
Coinnich,Scotland,6,4,83.19,D,
Coit Spirits,United States,1,,,G,
Coleburn,Scotland,98,72,86.84,C,
Coleen,Ireland,1,1,88.43,C,
Coleraine,Ireland,3,3,82.44,D,
Coles,United Kingdom,2,,,G,
Colkegan,United States,9,7,81.12,D,
Collabor&tion,United States,2,1,79.00,E,
Collection Moon,Scotland,2,2,84.00,D,
Collectivum XXVIII,Scotland,2,1,86.82,C,
Collector's Edition,United States,1,,,G,
Collectors,Scotland,1,,,G,
Collier and McKeel,United States,2,1,72.00,F,
Collingwood,Canada,3,3,81.56,D,
Colonel Black,Scotland,1,,,G,
Colonel E.H. Taylor,United States,27,23,86.48,C,
Colonel Hunter's,United States,1,1,86.00,C,
Colonel J.W. Dodge,United States,1,,,G,
Colonel Lee,United States,5,2,80.50,D,
Colonel Randolph,United States,1,,,G,
Colonial Blend,Scotland,1,,,G,
Colorado Gold,United States,4,1,75.00,E,
Colorado Mountain,United States,2,,,G,
Colorado Select Club,Canada,1,,,G,
Columban of Iona,Ireland,1,1,90.65,B,
Columbus,Indonesia,1,,,G,
Colville,United States,2,,,G,
Còmhlan,Scotland,,,,G,
Coming from Islay,Scotland,4,3,87.70,C,
Commonwealth Games,Scotland,2,1,87.40,C,
Conaill Carnagh,Ireland,1,1,86.00,C,
Concannon,Ireland,1,1,70.50,F,
Concerto,,1,1,89.00,C,
Conciere,United States,2,,,G,
Coney Island Carlo,United States,1,,,G,
Confidential Cask,Scotland,10,10,85.71,C,
Congratulations,Scotland,2,1,86.00,C,
Connacht,Ireland,3,1,76.63,E,
Connecticut Branford,United States,1,,,G,
Connemara,Ireland,119,102,81.91,D,
Conrad Hilton,Scotland,1,,,G,
Conrad's 1874,United States,1,,,G,
Conroy's,,1,,,G,
Conspirator Malt,Scotland,1,1,82.27,D,
Constantine Stores,United Kingdom,1,1,94.00,B,
Consulate,Scotland,4,2,81.50,D,
Continental,United States,1,,,G,
Continental's,United States,1,,,G,
Convalmore,Scotland,135,99,87.00,C,
Conviction,United States,1,,,G,
Cooley,Ireland,95,72,86.74,C,
Coomara,Ireland,1,1,89.00,C,
Coon Hollow,United States,1,,,G,
Cooper King,United Kingdom,8,,,G,
Cooper's,Scotland,3,,,G,
Cooper's Mark,United States,1,,,G,
Coopers & Lybrand Deloitte,Scotland,1,1,89.00,C,
Coopers' Craft,United States,6,3,84.33,D,
Coopers' Select,Scotland,1,,,G,
Cooperstown,United States,4,1,46.00,G,
Copenhagen Distillery,Denmark,3,2,89.50,C,
Copp Whisky,Scotland,1,1,86.00,C,
Copper City,United States,1,,,G,
Copper Cross,United States,1,,,G,
Copper Dog,Scotland,2,2,77.82,E,
Copper Fox,United States,3,3,80.83,D,
Copper Republic Distilling,,1,,,G,
Copper Rivet,United Kingdom,2,1,79.00,E,
Copper Run,United States,1,,,G,
